item,room,quantity,frequency,sentiment,notes
passport and lease packet,office,1,daily,high,carry in personal bag
coffee grinder,kitchen,1,daily,medium,first morning setup
glass mixing bowls,kitchen,3,monthly,medium,fragile nested bowls
extra towels,bathroom,6,weekly,low,pack most but keep two out
old bookshelf,living room,1,rarely,low,sell if pickup is easy
winter coats,closet,5,seasonal,medium,vacuum bag
kids art portfolio,kids room,2,monthly,high,do not bend
cast iron pan,kitchen,1,weekly,medium,heavy
duplicate cables,office,1,rarely,low,donate extras
basic tool kit,garage,1,weekly,medium,keep accessible
desk monitor,office,1,weekly,medium,wrap screen
medicine bin,bathroom,1,daily,high,first-night kit

